RegionName,AreaID,TotalIntroducedSpecies,ButterflyIntSp,MothsIntSp,Micro-MothsIntSp,Macro-MothsIntSp,Country,Continent,Island,GDP_AVG5Y,InvBias_SC,Area_SqKms,DensPop,AgricultureCultivated_Area_100,Urban_Area_100,ClosedForest_Area_100,OpenForest_Area_100,Forest_Area_100,MeanAnnualTemperature,AnnualPrecipitation
Cote dIvoire,CIV.1_1,3,0,3,3,0,Côte d'Ivoire,Africa,0,69050.8027,1.0,321543.245,87.51281,3.5961503018050354,0.7895516641171483,24.155063146509,63.7297393935103,87.8848025400193,26.199726380148153,1306.8631756605546
Croatia,HRV.1_1,25,1,24,21,3,Croatia,Europe,0,68806.0372,2.5,57078.573,73.98594,28.06886094176434,3.1626094411994496,45.6300530343045,13.4723169748732,59.1023700091777,11.688006383794765,1159.9662430334727
Cuba,CUB.1_1,8,1,7,7,0,Cuba,North America,1,99810.0987,2.25,110730.652,101.77013,11.516770255688023,1.2844305130386873,24.3803404174857,27.8358309616256,52.2161713791113,25.211978109454957,1401.0940437492704
Cyprus,CYP.1_1,19,1,18,15,3,Cyprus,Asia,1,29397.5486,1.0,9267.492,147.62591,30.923657221235075,6.586111227562129,12.8274916128394,10.9869922422123,23.8144838550517,18.955716666717716,532.132515586114
Czechia,CZE.1_1,30,0,30,28,2,Czechia,Europe,0,280347.588,2.5,78837.644,138.69076,47.57001611585884,5.9315427779825525,35.0957629092252,9.59395501670783,44.689717925933,8.071846879106367,719.1493108980795
Democratic Republic of the Congo,COD.1_1,4,0,4,3,1,Democratic Republic of the Congo,Africa,0,57601.2218,0.5,2328869.298,51.54985,1.3431631727997453,0.14916517592928744,68.2069359877024,11.8629741440725,80.0699101317749,23.78952629755667,1669.9787140442097
Denmark,DNK.1_1,67,3,64,50,14,Denmark,Europe,0,382263.08,2.25,43144.849,138.74046,66.67479893650214,6.313824504453687,12.4280329810601,9.94258818423493,22.370621165295,8.472198467229031,785.5123673635992
Denmark European Islands,DNK.3_1,0,0,0,0,0,Denmark,Europe,1,3535.391,,1439.614,37.47959,0.06650101145250951,0.014335547378984088,0.233350854557907,0.0911900097163154,0.324540864274222,5.962742076306874,2514.8960427566085
Djibouti,DJI.1_1,0,0,0,0,0,Djibouti,Africa,0,3486.5318,0.5,22372.295,51.99816,0.07739724574023384,0.1733082946081864,0.0000530481464977613,0.0338977656120695,0.0339508137585673,28.152556522107798,198.9712980458579
Dominica,DMA.1_1,5,0,5,4,1,Dominica,North America,1,586.4341,1.0,754.214,94.45114,0.11160368292153641,2.0863688501720556,78.2202312676318,12.7321201599652,90.952351427597,24.305943307075793,2533.286036167956
Dominican Republic,DOM.1_1,8,1,7,6,1,Dominican Republic,North America,1,99402.2205,2.25,48092.054,251.17635,5.435308419882235,2.2250181554016466,24.2993375277104,41.5781488912377,65.8774864189481,23.839691294936674,1545.7375181198665
Dutch North American Islands,NLD.2_1,0,0,0,0,0,Netherlands,North America,1,,,75.797,550.87667,0.07630093087135663,17.121928887532427,13.2458415992675,28.2313444224019,41.4771860216694,25.666128876388715,1186.9784959362398
Dutch South American Islands,NLD.3_1,0,0,0,0,0,Netherlands,South America,1,,,905.554,350.00955,2.745621263849102,13.274208949757355,0.0143886774189328,2.7822469881882,2.79663566560713,26.432612742868827,602.6586930065278
Ecuador,ECU.1_1,6,0,6,6,0,Ecuador,South America,0,109265.4614,1.75,248351.213,74.22851,4.867791813129148,0.6120321471903578,69.5582744850884,6.27016073205175,75.8284352171402,20.306473956596424,2563.321798342308
Egypt,EGY.1_1,6,1,5,4,1,Egypt,Africa,0,399983.728,1.25,983764.181,103.93785,4.133751002964519,0.612641620321838,0.0366818308360334,0.221500763977751,0.258182594813784,22.476890245763336,12.664573755516365
El Salvador,SLV.1_1,2,0,2,2,0,El Salvador,North America,0,29370.002,2.25,20422.749,331.60952,42.48869866390786,2.412162711559455,23.2048911040795,28.0975521989381,51.3024433030176,25.697672901161322,1608.0069158568044
Equatorial Guinea,GNQ.1_1,0,0,0,0,0,Equatorial Guinea,Africa,0,11899.8043,0.0,24987.763,37.28872,0.012601044626599545,0.4692435156720646,96.2721263438893,1.41577582935471,97.687902173244,23.391004576866106,2907.653630471169
Equatorial Guinea Islands,GNQ.2_1,0,0,0,0,0,Equatorial Guinea,Africa,1,,0.0,1971.649,186.44357,0.012266401712389678,2.53178531343723,90.3463418523493,2.79367298999674,93.140014842346,22.72443771651047,4037.040522327885
Eritrea,ERI.1_1,3,0,3,3,0,Eritrea,Africa,0,1641.8752,1.75,120457.447,34.65462,5.678094554205644,0.07879517136979389,0.015477622947638,0.639220975818033,0.654698598765671,26.629799652343827,315.9075291046364
Estonia,EST.1_1,9,0,9,8,1,Estonia,Europe,0,35630.398,2.0,45489.857,31.83999,21.533230728487414,0.9726346527801957,57.6805488030902,9.91453930801714,67.5950881111073,5.869912755625566,724.3933256355231
Ethiopia,ETH.1_1,6,0,6,5,1,Ethiopia,Africa,0,121060.5711,1.0,1129022.523,91.76865,20.914855356099746,0.15438444902610093,6.41227017635811,17.2733239178264,23.6855940941845,23.118643052353796,916.7923783565882
Falkland Islands,GBR.5_1,0,0,0,0,0,United Kingdom,South America,1,,,12397.371,0.19809,0.0,0.02074363490714478,0.421461852760459,0.0333118372332383,0.454773689993697,6.490214439734662,638.8398786882444
Fiji,FJI.1_1,3,0,3,2,1,Fiji,Oceania,1,4918.691,1.75,18963.484,49.20226,2.225660498918895,0.971713124075692,73.0061791363851,13.1010137493105,86.1071928856956,24.00819924041202,2652.902881592448
Finland,FIN.1_1,15,0,15,14,1,Finland,Europe,0,277370.788,2.25,336940.101,16.16954,4.5488271381630705,0.4738185665001836,64.1426025689153,11.9850566874515,76.1276592563668,2.197796019425023,744.1068285152343
Finland Islands,FIN.2_1,0,0,0,0,0,Finland,Europe,1,1522.594,,1506.012,21.56581,5.644454673563247,0.4990733225927586,63.9593150259025,14.949587941484,78.9089029673865,6.229126453264424,588.8826142828774
France,FRA.1_1,66,1,65,53,12,France,Europe,0,2718800.744,2.25,540773.257,127.57064,38.97674531243228,5.033858765515385,23.6182009192135,18.7665695492271,42.3847704684406,10.97222837524795,976.7576452224987
French African Islands,FRA.3_1,4,1,3,3,0,France,Africa,1,25775.78,,2947.898,421.23851,1.458509516803559,1.5743561821572967,59.3277804165073,10.8837942099836,70.2115746264909,19.32933387527237,2840.6278182479355
French Antarctic Islands,FRA.4_1,0,0,0,0,0,France,Antarctica,1,,,7823.962,,0.0,0.0,0.0,0.0,0.0,2.632282790480037,2104.509202079999
French European Islands,FRA.2_1,11,1,10,8,2,France,Europe,1,11009.668,2.25,8743.253,42.97255,2.28839053104012,1.8985870139211114,47.8214096378196,17.0753988717192,64.8968085095388,13.291863491216043,996.5954503782222
French Guiana,FRA.8_1,1,0,1,1,0,France,South America,0,5010.006,,83300.949,4.30014,0.0017264519569768174,0.06937725427111882,96.5860210490763,0.256182257615938,96.8422033066922,25.624222293858406,2643.9877417146886
French North American Islands,FRA.5_1,1,0,1,1,0,France,North America,1,,,3082.095,289.15029,1.4081604868769158,12.681907327070755,36.8009331316944,30.2270644986808,67.0279976303752,23.232637123277232,1943.7927408960406
French Polynesia,FRA.6_1,4,0,4,2,2,France,Oceania,1,21346.386,,4209.121,76.39524,0.0,0.0,0.0,0.0,0.0,24.72453513736243,2679.8415927793626
Gabon,GAB.1_1,2,0,2,0,2,Gabon,Africa,0,18298.127,,264549.835,11.52709,0.006596470334468969,0.13368724472438015,89.3478677241527,2.30291889005711,91.6507866142098,24.246635295310256,2028.7330468527803
Galapagos,ECU.2_1,68,3,65,56,9,Ecuador,South America,1,,1.75,7988.527,4.55902,0.07021098172543108,0.07400207145142629,23.8873530763176,11.6177186435177,35.5050717198353,22.534844255493326,1394.180583997545
Gambia,GMB.1_1,2,0,2,1,1,Gambia,Africa,0,2048.157,0.0,10670.505,228.04936,35.8101081588245,2.485984220990128,4.97075280177439,21.3306176667885,26.3013704685629,27.785466262990035,811.639446180852
Georgia,GEO.1_1,7,0,7,5,2,Georgia,Asia,0,21652.9449,2.0,69844.613,55.25126,15.838445463996978,1.7696592889914189,43.9765867863922,7.12703860219002,51.1036253885822,7.606523801467932,1531.3941966799803
Germany,DEU.1_1,52,1,51,37,14,Germany,Europe,0,4118791.918,2.75,357823.909,222.30719,45.42659956767024,8.106163879668143,30.511286813942,10.8940590745024,41.4053458884444,8.938715316058572,837.8599110286789
Ghana,GHA1_1,4,0,4,2,2,Ghana,Africa,0,,,239474.164,139.4057,11.655100254704173,1.760603523861886,21.0261280156958,31.092613178256,52.1187411939518,27.160116391700548,1235.539620422034
Gibraltar,GBR.1_2,3,0,3,3,0,United Kingdom,Africa,0,,,7.208,4964.85557,0.544959128065395,41.96185286103542,2.17983651226158,12.534059945504,14.7138964577656,17.45,806.4900024414062
Greece,GRC.1_1,26,1,25,23,2,Greece,Europe,0,201779.192,,124206.368,80.95135,22.98027559401338,3.052538044239904,36.063665435736,15.9314126626897,51.9950780984257,14.13098900138454,737.0325175672178
Greece European Islands,GRC.2_1,7,0,7,7,0,Greece,Europe,1,10270.188,,8372.346,77.32556,16.759490665162804,3.757561366537057,9.93927161556498,14.6170787450654,24.5563503606304,16.68520428232423,751.0469080421466
Greenland,DNK.2_1,0,0,0,0,0,Denmark,North America,1,3044.68,,2150880.21,0.01711,5.815339971466988e-05,0.00045008885239481003,0.00187641636412668,0.0655215277655022,0.0673979441296289,-19.691691512298576,431.44615026103173
Grenada,GRD.1_1,2,0,2,2,0,Grenada,North America,1,1184.2015,0.75,359.531,286.43916,2.0693973045111544,7.457079777243219,41.1770520974066,40.1291725706,81.3062246680066,25.455568379979677,1894.0540629871487
Guam,GUM.1_1,15,1,14,7,7,Guam,Oceania,1,6293.2,,549.794,300.1592,0.0,0.0,0.0,0.0,0.0,26.5287107041572,2616.379456023941
Guatemala,GTM.1_1,2,0,2,2,0,Guatemala,North America,0,88290.27050000001,2.0,109144.78,166.66022,31.49113280922079,1.0534758414701244,43.447005120818,19.9102774074983,63.3572825283163,22.491209980717073,2214.2970741233344
Guinea,GIN.1_1,2,0,2,1,1,Guinea,Africa,0,17342.1067,1.0,244816.174,50.57499,2.0337822399418526,0.5593881996100604,12.4766363829212,61.6064910234741,74.0831274063953,25.817690704498588,1788.5315821681816
Guinea-Bissau,GNB.1_1,2,0,2,1,1,Guinea-Bissau,Africa,0,1786.7585,0.0,32340.752,57.57543,5.427137962328993,0.49148685678595666,28.8208347322754,49.5018055516865,78.3226402839619,27.54556532423014,1485.1505583170087
Guinea-Bissau African Islands,GNB.2_1,0,0,0,0,0,Guinea-Bissau,Africa,1,,0.0,1541.527,23.54473,1.920273928232654,0.13573020536905506,56.5447408401391,8.59573221047436,65.1404730506135,26.217619859393842,1814.0657308777152
Guyana,GUY.1_1,2,0,2,2,0,Guyana,South America,0,10112.8554,2.0,209744.067,3.57877,0.03676927678670005,0.08827848271242772,88.8039364470867,0.876404428445439,89.6803408755321,25.08811085978671,2270.210337955025
Hainan,CHN.2_1,5,0,5,3,2,China,Asia,1,92970.9536,2.25,34061.352,299.45745,19.888058634671886,4.619094950024975,51.9348735361934,20.1994964656733,72.1343700018667,23.85573830446807,2036.2248422828272
Haiti,HTI.1_1,2,0,2,2,0,Haiti,North America,1,18101.222,,27107.104,544.47387,3.301563515295442,1.7891000527027627,5.819993607938,43.3691246473253,49.1891182552633,24.46742586596967,1286.902540542588
Hawaii,USA.2_1,192,15,177,116,61,United States,Oceania,1,96033.32,3.0,16724.291,93.41114,0.716804895943505,2.0781352727629114,35.2405706670804,13.9745647241063,49.2151353911867,18.80384947500336,1968.218654626156
Honduran Islands,HND.2_1,0,0,0,0,0,Honduras,North America,1,,0.75,231.708,358.99296,0.0,18.6887716654107,12.4993720170811,5.68701331323787,18.186385330319,26.184275825958792,2000.6371004893167
Honduras,HND.1_1,3,0,3,3,0,Honduras,North America,0,28441.0683,0.75,112058.034,84.8914,20.096530088300074,0.593098753489493,42.7228066402458,28.0970296632011,70.8198363034469,23.234262191778317,1838.724074855077
Hong Kong and Macau,CHN.3_1,3,0,3,1,2,China,Asia,1,399732.5003,,1162.787,7027.2399,2.1128935734831376,16.328835350668903,55.4863805718036,13.629080519681,69.1154610914846,22.65897952358739,2268.9463300017273
Hungary,HUN.1_1,33,0,33,29,4,Hungary,Europe,0,178562.892,2.5,93039.709,102.66981,65.04844353808433,5.283314165855403,19.5226535694795,7.12252721480214,26.6451807842816,10.853349681376654,621.5049178824135
Iceland,ISL.1_1,11,0,11,7,4,Iceland,Europe,1,26366.204,,102224.092,3.4482,0.39610921244743563,0.0879921807696932,0.0957643927407135,0.216051279575128,0.311815672315842,1.181938659165295,1668.219537519545
India,IND.1_1,12,0,12,6,6,India,Asia,0,3012459.4,1.75,3143736.435,450.66712,59.116144186853106,2.1704773572489584,16.9945271842526,7.51581665490132,24.5103438391539,23.541640226973573,1351.2408973542342
Indian Asian Islands,IND.2_1,1,0,1,0,1,India,Asia,1,1369.9381,1.75,7645.718,61.95162,1.2175585744185287,0.37726291713733895,80.2163823469544,3.50475385459218,83.7211362015466,26.74214287998912,2910.379363839286
Indonesia,IDN.1_1,5,0,5,2,3,Indonesia,Asia,1,1210982.365,1.25,1890242.928,151.24066,5.223320468949008,1.6787797760625265,77.8656407128352,9.82106421450529,87.6867049273405,24.772934816066936,3238.2777606715413
Iran,IRN.1_1,8,1,7,4,3,Iran,Asia,0,355625.961,1.25,1621745.291,50.46918,12.023500532601984,0.7333700178597314,1.20350092428047,0.820563277072958,2.02406420135343,17.563548019679317,313.5864520543964
Iraq,IRQ.1_1,6,0,6,5,1,Iraq,Asia,0,232341.9928,1.5,436454.491,105.28532,31.493976434064557,0.8829072791533655,0.0511403681130712,0.822242434758679,0.87338280287175,22.519264392173795,233.92656960747408
Ireland,IRL.1_1,57,0,57,46,11,Ireland,Europe,1,483940.584,2.0,70266.242,76.76833,7.177408420578504,1.753692289558749,5.65210517589083,7.25945756273091,12.9115627386217,9.690008972413958,1343.4502782933348
Israel,ISR.1_1,22,0,22,12,10,Israel,Asia,0,467199.4440000001,2.0,22158.653,403.9339,26.381329695247945,7.12782363086226,1.00821143329175,2.17442684944457,3.18263828273632,19.701666784346305,351.09746206669973
Italy,ITA.1_1,50,1,49,42,7,Italy,Europe,0,1902108.576,2.0,250912.018,223.71727,27.69716917505251,7.240705865130918,32.3879388918291,15.840936190848,48.2288750826771,11.822709692260409,1008.7504915515673
Jamaica,JAM.1_1,6,1,5,5,0,Jamaica,North America,1,16164.3781,2.0,11000.034,251.46026,2.858115860782639,4.747179973489393,45.459089313501,35.6522604745713,81.1113497880723,24.86401330471391,1670.2211168738881
Japan,JPN.1_1,72,19,53,41,12,Japan,Asia,1,5253140.210000001,2.0,372467.766,339.15267,6.853894233283294,10.3302606262306,75.7905674741869,5.01886642747278,80.8094339016597,11.311526188249568,2075.458547462282
Jordan,JOR.1_1,3,0,3,3,0,Jordan,Asia,0,46846.3857,1.25,89194.61,80.65001,4.498339122827542,0.9972953359809802,0.0195870248835614,0.201940944828675,0.221527969712236,18.862783703989074,123.30744944560556
Kazakhstan,KAZ.1_1,3,0,3,1,2,Kazakhstan,Asia,0,207600.0054,1.5,2730534.14,6.58815,9.595939395199618,0.19148306698460782,0.930002127721959,0.742937126637852,1.67293925435981,6.537441967411064,275.2754800167242
Kenya,KEN.1_1,12,0,12,11,1,Kenya,Africa,0,106645.4336,1.75,585983.764,94.2605,13.382738743351192,0.32652711981616894,3.85287540940611,8.91389186613332,12.7667672755394,25.080967057687264,677.4319070946282
